corpus,category
专区男装正价商品，限时7折！ 满399送眼镜（数量有限，送完为止）活动时间：6月9日 10:30开始,3.价格、促销
那个 不能换货的  是吧,2.退换货、退款
亲，很抱歉，由于商品库存有限，我们没办法预留库存，所以暂时没有换货流程，建议您在符合我们退货条件的前提下，在签收后7天内建议您把收到的宝贝申请退款，然后重新拍下适合您的尺码，这样的话可以节省寄回的物流时间，同时也可以避免因产品热销而造成的缺货哦~安慰,2.退换货、退款
不包邮的情况下是要扣除您10元运费的,2.退换货、退款
您退回的运费在符合理赔条件的情况下保险公司会理赔您的,2.退换货、退款
不是有运费险的吗,2.退换货、退款
其他不要需要的，您选择退货原因为“7天无理由退换货”退款类型为“退货退款”,2.退换货、退款
您需要在单子上勾选一下退货商品的数量，然后连同单子一起寄回我们的仓库,2.退换货、退款
我这边同意您的退货申请了,2.退换货、退款
你好，我之前买的衣服，小了。能换大码码？,2.退换货、退款
亲，很抱歉，由于商品库存有限，我们没办法预留库存，所以暂时没有换货流程，建议您在符合我们退货条件的前提下，在签收后7天内建议您把收到的宝贝申请退款，然后重新拍下适合您的尺码，这样的话可以节省寄回的物流时间，同时也可以避免因产品热销而造成的缺货哦~,2.退换货、退款
我们退的是您的实际支付金额,2.退换货、退款
不客气，包裹中会有一张退货单您是否有看到呢？,2.退换货、退款
您需要在单子上勾选一下退货商品的数量，然后连同单子一起寄回我们的仓库,2.退换货、退款
但是这西服没扣子,4.商品资讯（尺码、款式等）
你好  昨天我拍了几件衣服   刚开始下订单的时候遇到点问题  所以分开下的订单  其中一个订单付了10块运费   不知道这10块运费是否能退给我呢,1.物流、发货
这边看到您拍了三笔订单，我们这边是不会 给您发三个包裹的,1.物流、发货
我们仓库会给您发三个包裹,1.物流、发货
那是同一单快递发来还是分三单发呢,1.物流、发货
可能不行哈~我们仓库的发货量是比较大的，所以一般这种情况是不受理的呢,1.物流、发货
那我记错了  我以为你们是当天发货的  因为我周日一早要出远门 所以希望衣服周六可以收到  也就是希望你们周五能发货 所以你这边可不可以做个急件,1.物流、发货
你好，我之前买的衣服，小了。能换大码码？,2.退换货、退款
我买了很久了，因为老公不在没拭成，现在能按退款流程走吗,2.退换货、退款
换也不行吗，不能因为你们没有换货流程就不管了吧,2.退换货、退款
您好   我们是不支持换货的呢,2.退换货、退款
可以退货的呢,2.退换货、退款
那这衣服现在有货的呀，我把衣服寄回你们重新寄回来就行了，邮费我出，就这么简单，你们怎么这么可笑,2.退换货、退款
退货  售后期限是非常长的呢,2.退换货、退款
包裹查到了没？,1.物流、发货
是这样的，我们这边刚刚已经和EMS公司联系了，通过这个单号查询到包裹是已经签收了的，但是因为您这边的门卫已经将您的包裹退回了，我们这边没有退回的包裹号也是查询不到的呢，你可以找一下帮您将包裹退回的那个人，通过他的途径找到您的包裹的呢，很抱歉给您带来不便了。 ,1.物流、发货
亲，这样吧，您可以将门卫给您的电话给我，我这边帮您联系试试，成与不成就不好说了。,1.物流、发货
您需要找门卫联系到他给您退回您的包裹的接受人的，我们这边会帮您向快递公司核实的，您这边也需要联系到帮您退回快递的人的。,1.物流、发货
亲，因为您的快递是已经签收了再退回的，我们这边根据现在的线索是只能查询到您的快递是已经签收了，后续的状态我们也是查询不到的，您需要和帮您退件的门卫以及接受您的退件的人联系的呢，我们这边也已经尽力了。,1.物流、发货
物流上也没显示到哪,1.物流、发货
亲，我们这边已经帮您联系过EMS快递了，我们也将您的情况向对方反应了，对方客服人员查询运单号1077080192606这个物流单号是已签收的状态，没有提供退回的物流单号的话，是查询不到快递的位置的，我们这边已经尽力帮您了。,1.物流、发货
退款退钱啊 ,2.退换货、退款
刚才你家的说了给我退款啊 ,2.退换货、退款
是的亲~后续会尽快的为您操作退款的,2.退换货、退款
亲~我看到您已经申请了退货退款,2.退换货、退款
亲~我们是不能帮您直接退款的，需要您再耐心的等待一下,2.退换货、退款
亲~已通知财务后续财务会尽快为您处理的，还请您耐心等待,2.退换货、退款
亲~刚刚看到您还没有修改退货理由,2.退换货、退款
问一下，你们的活动双11还搞的吗？,3.价格、促销
优惠力度都一样呢？还是双11的时候更大呢？,3.价格、促销
哦！好的！顺便问一下，我爸爸是钓鱼爱好者，平时的时候，他都穿我给他买的冲锋衣，你家的第一次有专门适合钓鱼的衣服，我不知道买哪个好了,4.商品资讯（尺码、款式等）
第二款的话保暖更加好呢 ,4.商品资讯（尺码、款式等）
我是这么想的，最好是可以适合春秋和冬天的，因为，如果外面这件冲锋衣防风性能好的话，里面再加一件抓绒，保暖应该没什么太大问题吧？,4.商品资讯（尺码、款式等）
第一款好像里面还是有抓绒的吧？春秋天穿肯定会太热的吧？,4.商品资讯（尺码、款式等）
因为 没有四季都适合穿的衣服呢,4.商品资讯（尺码、款式等）
而且我觉得，你们推出的专门适合钓鱼的颜色都不是很鲜艳，这也是我纠结得地方,4.商品资讯（尺码、款式等）
是的呢亲  我们的颜色都是这样的呢 ,4.商品资讯（尺码、款式等）
8.18-8.24指定页面商品满2件9折，3件8.5折,3.价格、促销
99的绿色和其他148的有什么区别？,4.商品资讯（尺码、款式等）
是材质不一样吗？,4.商品资讯（尺码、款式等）
材质和功能性有差异吗？,4.商品资讯（尺码、款式等）
只有颜色不同的,4.商品资讯（尺码、款式等）
皮肤衣都是相对较轻的哈,4.商品资讯（尺码、款式等）
问下尺码,4.商品资讯（尺码、款式等）
"女，158，47kg,男，180，82KG,分男女款的吧",4.商品资讯（尺码、款式等）
是不是能九折的？,3.价格、促销
亲，请核对一下收货地址哦～,1.物流、发货
不是2件九折？,3.价格、促销
冲气垫有多厚呀，白色那款,4.商品资讯（尺码、款式等）
因为我在考虑你们那款549的帐篷，高度只有95我怕太厚了里面空间不够,4.商品资讯（尺码、款式等）
12里面是冲满气之后的高度吧,4.商品资讯（尺码、款式等）
充气口是通用的吗，我家里有个充气泵,4.商品资讯（尺码、款式等）
本店的充气泵都是充的呢,4.商品资讯（尺码、款式等）
哦，需要和打气泵一起购买吗,3.价格、促销
亲，现在我们是全场满299包邮哦（海外及台湾地区除外）。如果不满299，只有商品页面上注明了卖家承担运费或者显示运费为0的商品才包邮的哦！,3.价格、促销
你好，我想在你家买几件衣服，你家女装号是偏大吗？,4.商品资讯（尺码、款式等）
亲，我们的尺码都是正码数的哦~,4.商品资讯（尺码、款式等）
对于一些宽松的宽松，建议亲您可以现在小一码数的呢~,4.商品资讯（尺码、款式等）
请您提供下您的胸围亲，我这里帮您参考下的哦~,4.商品资讯（尺码、款式等）
那个，你们要的胸围是上胸围还是下胸围啊？,4.商品资讯（尺码、款式等）
下胸围的哦亲，或者亲您也可以提供下您平常穿胸衣的尺码的哦~,4.商品资讯（尺码、款式等）
根据您提供的数据，建议您选择160的哦亲~,4.商品资讯（尺码、款式等）
我还要帮我男朋友买一条裤子，他腰围2尺3，换算成厘米好像是77cm左右，应该买什么号啊。,4.商品资讯（尺码、款式等）
亲，您这边是否可以透漏下您的身高，体重及腰围信息~这边帮您参考下尺码喔！,4.商品资讯（尺码、款式等）
感谢您的耐心等待，建议您选择180/80A的哦亲~,4.商品资讯（尺码、款式等）
我领了一个10元优惠券 可以和手机下单减10元的优惠同时使用么,3.价格、促销
运动眼镜季末折扣，活动页面三折起,3.价格、促销
我买了肆佰多的东西怎么还需要附运费？,3.价格、促销
我们是满199包邮（不含运费）您满199了 拍下了系统会自动免运费的，您拍下后还没有包邮的话；联系我为您修改哦,3.价格、促销
十一期间没有优惠吗,3.价格、促销
没有满减活动 哦 ,3.价格、促销
您好！6月16日 店铺聚划算品牌团火热进行中,3.价格、促销
更有全店满299包邮，满300减20，满500减50（不含运费，不与其他优惠共享）时间有限，赶快抢购吧！,3.价格、促销
这俩有货吧,5.库存
您是寄往哪里的呢亲,1.物流、发货
什么时间发货  发什么快递,1.物流、发货
我们一般是付款72小时内安排发货的。,1.物流、发货
没有啊  我头确认的时候显示全国包邮,3.价格、促销
只有页面显示运费为0的商品才是包邮商品哦,3.价格、促销
亲，您可以看看我们家的聚划算商品哦,3.价格、促销
我们6.26号有一个年终大促的活动，亲到时候过来转转哦,3.价格、促销
这一套里面的裙子有吗？,4.商品资讯（尺码、款式等）
亲，店铺都是单品出售，模特搭配和配套的商品店铺不一定会有，建议您后续也是可以留意一下呢,4.商品资讯（尺码、款式等）
166 104斤 请问穿哪个型号,4.商品资讯（尺码、款式等）
亲，您可以告诉我您的腰围是多少吗~,4.商品资讯（尺码、款式等）
亲，建议您可以选择155的尺码试一下呢~,4.商品资讯（尺码、款式等）
啊 大概是一尺八九的样子,4.商品资讯（尺码、款式等）
高腰是不是还要小一些？,4.商品资讯（尺码、款式等）
会不会小呀 我不太清楚XX的尺码哦,4.商品资讯（尺码、款式等）
亲，店铺是支持在您收到商品七天内只要保证商品的完整性都是可以无理由退货的呢~,2.退换货、退款
我怕有色差你帮我看看吧,4.商品资讯（尺码、款式等）
可能会有轻微的不同啦。 ,4.商品资讯（尺码、款式等）
那这里有双排扣和单排扣,4.商品资讯（尺码、款式等）
那价格能便宜点么 ,3.价格、促销
这里的其他图片和这个图片西服不一样,4.商品资讯（尺码、款式等）
亲，您要的颜色可能没有了呢,4.商品资讯（尺码、款式等）
如果过来了颜色不配套 可以退么,2.退换货、退款
在我们商品完整，没有异味，没有洗过的情况是我们支持七天无理由退货的。,2.退换货、退款
建议L码 ,4.商品资讯（尺码、款式等）
亲能帮我发下申通吗，,1.物流、发货
好吧。在问下我160斤穿xl的宽松吗，本来就胖不喜欢紧身的，如果穿的好我还回来买的。真的,4.商品资讯（尺码、款式等）
明天发货吗,1.物流、发货
亲，我们最晚会在72H内帮您安排发货的哦，不过通常用不了这么久的呢~,1.物流、发货
我们的商品到货周期一般是两周到一个月的，具体上架时间无法确定呢，建议您可以将这件商品添加收藏，经常关注一下哈~,5.库存
咋还没进货啊,5.库存
关注一个多月了 一直没我要的号,4.商品资讯（尺码、款式等）
这边建议您可以看下其他款式的哦,4.商品资讯（尺码、款式等）
仓库那边现在没有库存了,5.库存
你说不能换吗？怎么7天可以呢,2.退换货、退款
亲。可以退货重新拍哦，,2.退换货、退款
亲，您到时候不合适可以退货啦，,2.退换货、退款
你这款就是最小的了，我怎么换呢,2.退换货、退款
我平时穿m号的，这款我能不能穿,4.商品资讯（尺码、款式等）
亲，目前没有分x  m码的哦。使用 具体m码对应的多少我们也不知道呢，,4.商品资讯（尺码、款式等）
亲，您这边是否可以透漏下您的身高，体重及胸围信息呢~这边帮您参考下尺码喔！,4.商品资讯（尺码、款式等）
亲，根据您提供的数据信息以及买家平时的选购经验，建议您可以参考下 145/72Y码哦~因为网购无法试穿且我们也无法见到您本人，所以建议的码数因人而异，收到YY后记得尽快试穿,4.商品资讯（尺码、款式等）
有没有衬衣坠性好的，垂坠感的面料,4.商品资讯（尺码、款式等）
预定时间：10.15号10点~11.10号22点。活动页面：http://decathlon.tmall.com/campaign-1.htm 此页面领取5元优惠券（满100元可用）。仅预售款可以用的哦~,3.价格、促销
可我拍的套餐是包邮，可结算时另加了邮费，请处理一下,3.价格、促销
对不起，不是这个地址，请寄武汉我儿子那里,1.物流、发货
是不是先点击申请退款？z再逐笔t退款？,2.退换货、退款
套餐有三件物品,3.价格、促销
